Rank,Country,Total Cases,New Cases,Deaths,New Deaths,Recovered,Active Cases,Critical
107,Equatorial Guinea,"4,926",,83,,"2,713","2,130",
108,CAR,"4,679",,61,,"1,755","2,863",2
109,Hong Kong,"4,632",,75,,"3,900",657,30
110,Nicaragua,"4,311",,133,,"2,913","1,265",
111,Montenegro,"4,277",,82,,"3,281",914,
112,Eswatini,"4,128",,81,,"2,682","1,365",11
113,Congo,"3,850",,77,,"1,625","2,148",
114,Cuba,"3,582",,89,,"2,951",542,3
115,Suriname,"3,460",,56,,"2,498",906,20
116,Cabo Verde,"3,412",,37,,"2,498",877,
117,Thailand,"3,390",,58,,"3,220",112,1
118,Somalia,"3,265",,93,,"2,396",776,
119,Mayotte,"3,237",,39,,"2,964",234,1
120,Slovakia,"3,225",,33,,"2,045","1,147",7
121,Mozambique,"3,195",,20,,"1,406","1,769",
122,Sri Lanka,"2,941",,11,,"2,789",141,1
123,Rwanda,"2,780",,11,,"1,712","1,057",
124,Mali,"2,688",,125,,"2,007",556,
125,Tunisia,"2,607",,64,,"1,420","1,123",8
126,Slovenia,"2,574",,130,,"2,079",365,3
127,Lithuania,"2,564",,83,,"1,755",726,6
128,South Sudan,"2,497",,47,,"1,290","1,160",
129,Gambia,"2,437",,84,,455,"1,898",
130,Estonia,"2,244",,63,,"2,011",170,
131,Guinea-Bissau,"2,149",,33,,"1,015","1,101",5
132,Benin,"2,095",,39,,"1,705",351,
133,Syria,"2,073",,83,,475,"1,515",
134,Angola,"2,068",,94,,804,"1,170",24
135,Iceland,"2,050",,10,,"1,920",120,
136,Sierra Leone,"1,972",,69,,"1,542",361,
137,Yemen,"1,906",,542,,"1,058",306,
138,Uganda,"1,848",,19,,"1,199",630,
139,Bahamas,"1,703",,27,,221,"1,455",61
140,New Zealand,"1,671",+6,22,,"1,538",111,9
141,Malta,"1,546",,10,,854,682,
142,Jordan,"1,532",,11,,"1,262",259,3
143,Uruguay,"1,516",,42,,"1,249",225,2
144,Aruba,"1,464",,6,,415,"1,043",2
145,Cyprus,"1,406",,20,,878,508,5
146,Georgia,"1,394",+9,17,,"1,132",245,
147,Jamaica,"1,346",+56,16,+1,788,542,4
148,Latvia,"1,333",+3,33,,"1,093",207,
149,Botswana,"1,308",,3,,136,"1,169",1
150,Burkina Faso,"1,297",,55,,"1,034",208,
151,Liberia,"1,285",,82,,803,400,
152,Togo,"1,239",,27,,891,321,2
153,Niger,"1,172",,69,,"1,083",20,
154,Réunion,"1,075",,5,,692,378,3
155,Andorra,"1,045",,53,,875,117,1
156,Lesotho,"1,015",,30,,472,513,
157,Vietnam,"1,009",,25,,545,439,
158,Chad,981,,76,,869,36,
159,Sao Tome and Principe,891,,15,,830,46,
160,Guyana,881,,30,,433,418,8
161,Trinidad and Tobago,864,,12,,162,690,3
162,Guadeloupe,771,,15,,289,467,2
,,,,,,,,
163,Diamond Princess,712,,13,,651,48,4
164,San Marino,704,,42,,657,5,
165,Belize,648,,5,,43,600,3
166,Channel Islands,614,,48,,545,21,
167,Tanzania,509,,21,,183,305,7
168,Taiwan,487,,7,,457,23,
169,Myanmar,435,+16,6,,337,92,
170,Burundi,426,,1,,336,89,
171,Comoros,417,,7,,396,14,
172,Faeroe Islands,384,,,,300,84,4
173,Papua New Guinea,361,,4,,198,159,
174,Sint Maarten,353,,17,,146,190,3
175,Turks and Caicos,347,+13,2,,102,243,3
176,Mauritius,346,,10,,334,2,
177,Isle of Man,336,,24,,312,0,
178,Martinique,336,,16,,98,222,2
179,Eritrea,306,,,,274,32,
180,French Polynesia,298,,,,148,150,2
181,Mongolia,298,,,,288,10,1
182,Cambodia,273,,,,263,10,1
183,Gibraltar,231,,,,200,31,
184,Cayman Islands,205,,1,,202,2,
185,Saint Martin,176,,5,,52,119,1
186,Bermuda,167,,9,,147,11,
187,Barbados,157,,7,,124,26,
188,Monaco,154,,4,,116,34,1
189,Bhutan,154,+1,,,110,44,
190,Brunei,143,,3,,139,1,
191,Seychelles,132,,,,126,6,
192,Liechtenstein,99,,1,,88,10,
193,Antigua and Barbuda,94,,3,,89,2,1
194,St. Vincent Grenadines,58,,,,56,2,
195,Macao,46,,,,46,0,
196,Curaçao,37,,1,,32,4,
197,Fiji,28,,1,,20,7,
198,Saint Lucia,26,,,,25,1,
199,Timor-Leste,26,,,,25,1,
200,Grenada,24,,,,24,0,
201,New Caledonia,23,,,,22,1,
202,Laos,22,,,,20,2,
203,British Virgin Islands,21,+9,1,,8,12,
204,Dominica,18,,,,18,0,
205,Saint Kitts and Nevis,17,,,,17,0,
206,St. Barth,16,,,,9,7,
207,Greenland,14,,,,14,0,
208,Montserrat,13,,1,,12,0,
209,Caribbean Netherlands,13,,,,7,6,
210,Falkland Islands,13,,,,13,0,
211,Vatican City,12,,,,12,0,
212,Western Sahara,10,,1,,8,1,
213,MS Zaandam,9,,2,,,7,
214,Saint Pierre Miquelon,5,,,,1,4,
215,Anguilla,3,,,,3,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Total:,"23,125,472","+17,056","803,253",+653,"15,716,611",,"6,605,608"
